t,az
12.955000,9.904960632
12.975000,9.904960632
12.995000,9.904960632
13.015000,9.904960632
13.037000,9.895379066
13.082000,9.909751892
13.115000,9.904960632
13.135000,9.904960632
13.157000,9.900169373
13.195000,9.909751892
13.215000,9.904960632
13.236000,9.895379066
13.256000,9.895379066
13.277000,9.909751892
13.297000,9.909751892
13.337000,9.909751892
13.377000,9.909751892
13.397000,9.900169373
13.437000,9.900169373
13.458000,9.914543152
13.478000,9.904960632
13.517000,9.904960632
13.537000,9.900169373
13.559000,9.909751892
13.603000,9.904960632
13.638000,9.904960632
13.659000,9.900169373
13.678000,9.900169373
13.718000,9.900169373
13.739000,9.904960632
13.759000,9.895379066
13.799000,9.900169373
13.838000,9.900169373
13.859000,9.900169373
13.879000,9.914543152
13.899000,9.900169373
13.920000,9.904960632
13.961000,9.895379066
13.980000,9.904960632
14.000000,9.909751892
14.020000,9.909751892
14.040000,9.885796547
14.060000,9.895379066
14.081000,9.904960632
14.101000,9.909751892
14.141000,9.904960632
14.161000,9.904960632
14.181000,9.909751892
14.201000,9.904960632
14.241000,9.890587807
14.261000,9.909751892
14.282000,9.914543152
14.302000,9.909751892
14.341000,9.904960632
14.362000,9.895379066
14.383000,9.904960632
14.402000,9.900169373
14.442000,9.895379066
14.462000,9.909751892
14.482000,9.890587807
14.504000,9.904960632
14.523000,9.909751892
14.563000,9.900169373
14.583000,9.895379066
14.604000,9.909751892
14.642000,9.900169373
14.663000,9.904960632
14.683000,9.904960632
14.703000,9.914543152
14.724000,9.904960632
14.743000,9.900169373
14.764000,9.904960632
14.786000,9.900169373
14.824000,9.900169373
14.865000,9.904960632
14.885000,9.900169373
14.905000,9.900169373
14.925000,9.904960632
14.964000,9.900169373
14.985000,9.904960632
15.005000,9.900169373
15.025000,9.904960632
15.045000,9.904960632
15.085000,9.904960632
15.105000,9.900169373
15.126000,9.895379066
15.146000,9.900169373
15.166000,9.909751892
15.186000,9.914543152
15.207000,9.890587807
15.227000,9.904960632
15.266000,9.904960632
15.286000,9.904960632
15.307000,9.904960632
15.346000,9.900169373
15.367000,9.900169373
15.387000,9.909751892
15.408000,9.900169373
15.447000,9.900169373
15.488000,9.909751892
15.528000,9.904960632
15.568000,9.900169373
15.609000,9.904960632
15.648000,9.909751892
15.689000,9.895379066
15.709000,9.900169373
15.729000,9.904960632
15.749000,9.900169373
15.789000,9.909751892
15.809000,9.904960632
15.849000,9.900169373
15.869000,9.900169373
15.890000,9.900169373
15.912000,9.909751892
15.950000,9.900169373
15.970000,9.900169373
15.990000,9.914543152
16.010000,9.900169373
16.030000,9.904960632
16.050000,9.900169373
16.070000,9.900169373
16.091000,9.904960632
16.131000,9.909751892
16.151000,9.909751892
16.191000,9.900169373
16.212000,9.900169373
16.233000,9.904960632
16.271000,9.900169373
16.291000,9.900169373
16.313000,9.909751892
16.352000,9.904960632
16.371000,9.890587807
16.391000,9.904960632
16.414000,9.904960632
16.452000,9.909751892
16.493000,9.919333458
16.513000,9.900169373
16.533000,9.909751892
16.553000,9.900169373
16.593000,9.904960632
16.614000,9.909751892
16.653000,9.904960632
16.673000,9.909751892
16.693000,9.900169373
16.713000,9.900169373
16.734000,9.909751892
16.774000,9.909751892
16.793000,9.904960632
16.814000,9.900169373
16.834000,9.900169373
16.854000,9.900169373
16.874000,9.895379066
16.894000,9.904960632
16.914000,9.904960632
16.935000,9.904960632
16.955000,9.900169373
16.975000,9.900169373
17.015000,9.900169373
17.036000,9.909751892
17.075000,9.900169373
17.095000,9.904960632
17.116000,9.909751892
17.136000,9.909751892
17.156000,9.900169373
17.195000,9.895379066
17.216000,9.900169373
17.237000,9.904960632
17.257000,9.895379066
17.296000,9.904960632
17.316000,9.904960632
17.337000,9.904960632
17.358000,9.909751892
17.378000,9.900169373
17.417000,9.900169373
17.438000,9.900169373
17.458000,9.909751892
17.497000,9.900169373
17.538000,9.909751892
17.559000,9.904960632
17.598000,9.900169373
17.618000,9.904960632
17.640000,9.904960632
17.678000,9.904960632
17.698000,9.909751892
17.718000,9.904960632
17.739000,9.900169373
17.760000,9.895379066
17.799000,9.904960632
17.819000,9.900169373
17.839000,9.900169373
17.861000,9.900169373
17.899000,9.900169373
17.919000,9.914543152
17.939000,9.900169373
17.961000,9.900169373
17.980000,9.904960632
18.019000,9.904960632
18.039000,9.900169373
18.063000,9.909751892
18.100000,9.904960632
18.120000,9.900169373
18.140000,9.909751892
18.162000,9.900169373
18.181000,9.904960632
18.201000,9.904960632
18.241000,9.900169373
18.263000,9.900169373
18.283000,9.909751892
18.321000,9.900169373
18.341000,9.904960632
18.363000,9.904960632
18.382000,9.900169373
18.421000,9.904960632
18.441000,9.904960632
18.463000,9.900169373
18.483000,9.904960632
18.522000,9.909751892
18.562000,9.904960632
18.583000,9.904960632
18.623000,9.904960632
18.642000,9.909751892
18.665000,9.900169373
18.703000,9.904960632
18.723000,9.909751892
18.763000,9.904960632
18.785000,9.900169373
18.824000,9.909751892
18.864000,9.895379066
18.886000,9.904960632
18.924000,9.909751892
18.944000,9.904960632
18.964000,9.909751892
18.985000,9.895379066
19.005000,9.900169373
19.025000,9.900169373
19.065000,9.909751892
19.086000,9.904960632
19.105000,9.895379066
19.125000,9.909751892
19.145000,9.900169373
19.165000,9.909751892
19.186000,9.904960632
19.206000,9.895379066
19.226000,9.904960632
19.266000,9.909751892
19.287000,9.900169373
19.306000,9.904960632
19.327000,9.904960632
19.367000,9.909751892
19.388000,9.900169373
19.428000,9.909751892
19.467000,9.900169373
19.487000,9.904960632
19.509000,9.904960632
19.547000,9.900169373
19.589000,9.909751892
19.628000,9.900169373
19.648000,9.909751892
19.688000,9.904960632
19.709000,9.904960632
19.749000,9.900169373
19.768000,9.909751892
19.789000,9.900169373
19.809000,9.904960632
19.829000,9.909751892
19.868000,9.904960632
19.889000,9.900169373
19.910000,9.900169373
19.950000,9.904960632
19.989000,9.900169373
20.009000,9.885796547
20.030000,9.904960632
20.050000,9.909751892
20.070000,9.909751892
20.090000,9.909751892
20.112000,9.895379066
20.150000,9.890587807
20.170000,9.900169373
20.191000,9.909751892
20.211000,9.909751892
20.251000,9.900169373
20.291000,9.904960632
20.315000,9.914543152
20.350000,9.904960632
20.372000,9.914543152
20.391000,9.900169373
20.411000,9.904960632
20.433000,9.904960632
20.472000,9.904960632
20.492000,9.904960632
20.513000,9.900169373
20.532000,9.914543152
20.552000,9.895379066
20.592000,9.904960632
20.613000,9.909751892
20.633000,9.900169373
20.653000,9.900169373
20.693000,9.904960632
20.715000,9.909751892
20.754000,9.904960632
20.794000,9.900169373
20.814000,9.909751892
20.835000,9.904960632
20.854000,9.904960632
20.894000,9.909751892
20.915000,9.900169373
20.935000,9.900169373
20.955000,9.900169373
20.994000,9.909751892
21.014000,9.895379066
21.037000,9.904960632
21.075000,9.909751892
21.095000,9.895379066
21.116000,9.895379066
21.137000,9.900169373
21.175000,9.909751892
21.195000,9.909751892
21.215000,9.904960632
21.238000,9.900169373
21.275000,9.900169373
21.298000,9.900169373
21.337000,9.890587807
21.357000,9.904960632
21.396000,9.900169373
21.437000,9.904960632
21.457000,9.900169373
21.496000,9.900169373
21.516000,9.900169373
21.538000,9.895379066
21.558000,9.904960632
21.578000,9.904960632
