t_ms,ax,ay,az,gx,gy,gz
27000,0.296710,-1.598405,10.626525,156.515625,-13.609375,22.031250
27083,0.186640,-3.086741,11.928221,-45.828125,-11.609375,11.125000
27167,-0.193819,-1.682154,10.368100,59.875000,-8.593750,16.437500
27250,-0.160319,-1.368695,10.107283,37.437500,-15.890625,-1.796875
27333,0.066999,-3.000600,11.497513,-3.171875,-12.203125,14.796875
27417,0.052642,-2.598605,11.748759,-52.187500,-3.343750,18.640625
27500,-0.095713,-2.368894,10.875379,44.875000,-8.890625,22.718750
27583,-0.342174,-0.466600,9.214760,19.609375,27.609375,6.578125
27667,-0.229711,-1.464407,10.700703,-21.984375,11.250000,19.390625
27750,0.222533,-2.502892,8.257631,-18.171875,32.640625,-12.953125
27833,-0.267996,-0.535992,8.293523,46.968750,44.859375,-5.843750
27917,-0.251246,-0.863809,8.190632,49.234375,57.203125,-8.468750
28000,-0.062213,-2.069792,8.413164,23.968750,54.078125,-8.250000
28083,0.045464,-1.617548,10.133604,7.343750,-19.343750,-11.828125
28167,0.179462,-0.995414,9.973285,70.421875,-2.609375,-8.093750
28250,0.028714,-1.785046,11.105090,73.796875,-0.187500,-2.703125
28333,-0.177069,-2.809174,11.679367,37.609375,12.281250,5.515625
28417,-0.110070,-3.184847,10.695917,-46.734375,11.796875,8.500000
28500,0.210568,-1.823331,9.150154,-46.687500,-7.906250,0.687500
28583,-0.198604,-3.199204,11.593225,-14.015625,19.578125,11.093750
28667,-0.014357,-1.158126,10.116854,3.734375,-23.171875,-6.218750
28750,-0.157926,-1.744368,11.078769,15.078125,-11.921875,0.625000
28833,-0.033500,-2.301895,11.193624,5.312500,-7.312500,1.921875
28917,0.133998,-2.151148,10.609775,-4.296875,-13.437500,-6.656250
29000,0.232104,-1.174876,9.152546,-23.500000,-24.078125,-6.281250
29083,0.126820,-1.531406,8.315059,-76.890625,55.187500,18.609375
29167,-0.272782,-0.964308,9.619147,72.703125,-62.031250,1.890625
29250,-0.681954,-3.053242,9.741181,35.656250,-14.484375,21.140625
29333,-0.643669,-3.290131,9.604790,-27.750000,39.203125,34.031250
29417,-0.380459,-2.555535,9.068798,-74.093750,66.328125,29.000000
29500,0.581456,-0.823131,7.585248,-41.078125,16.703125,17.390625
29583,-0.375673,-2.093720,9.253045,-14.812500,-23.640625,-10.796875
29667,0.136391,-1.012164,7.625926,23.687500,-49.328125,11.906250
29750,-0.196211,-1.643869,8.348558,13.140625,-48.031250,-0.859375
29833,-0.119641,-1.296910,9.954142,33.234375,9.656250,-12.171875
29917,0.547956,-0.658026,7.302895,2.296875,-24.515625,18.953125
30000,-0.256032,-1.607977,9.966106,-30.062500,5.203125,-16.265625
30083,0.055035,-4.785645,12.978670,-68.968750,27.671875,6.593750
30167,0.246461,-0.892523,9.286545,97.437500,-41.312500,-2.265625
30250,0.222533,-3.708875,11.602797,-108.203125,7.234375,-12.265625
30333,0.038285,-1.737189,10.028320,-70.984375,-10.015625,-18.984375
30417,-0.026321,-0.380459,9.075976,8.593750,-25.937500,-14.031250
30500,0.169890,-0.069392,8.874979,79.484375,-41.359375,-7.453125
30583,-0.045464,-2.402394,10.109675,54.015625,-13.125000,3.359375
30667,-0.717847,-3.483950,11.487941,-79.265625,67.546875,-3.484375
30750,-0.430708,-2.823531,11.370693,-80.781250,46.781250,-12.156250
30833,0.569492,-1.462015,10.604990,-21.125000,-15.546875,-13.406250
30917,0.751346,-0.512064,9.626325,49.531250,-65.484375,-9.171875
31000,-0.476172,-3.440879,10.928021,-20.734375,35.406250,4.234375
31083,1.550549,-0.277567,7.066005,-294.281250,-9.250000,-30.734375
31167,1.177269,2.256432,6.790831,-104.109375,-98.984375,4.734375
31250,-0.507278,2.000400,8.200203,217.750000,-74.203125,29.093750
31333,-1.277767,-0.954736,10.212567,180.203125,13.453125,37.062500
31417,-1.172483,-4.077370,11.583654,38.187500,80.625000,43.015625
31500,-0.425922,-5.221139,12.136396,-103.437500,85.953125,22.390625
31583,0.586242,-3.294917,11.365907,-138.062500,32.156250,0.875000
31667,0.447458,0.081356,10.406385,73.234375,-42.031250,18.156250
31750,-0.641276,-1.270589,12.784851,157.171875,-14.843750,22.515625
31833,-0.428315,-3.706482,13.572090,38.125000,38.453125,22.843750
31917,0.015952,-2.286741,12.162717,122.958333,34.593750,15.135417
32000,0.460220,-0.866999,10.753345,207.791667,30.734375,7.427083
32083,0.904487,0.552742,9.343972,292.625000,26.875000,-0.281250
